hour_of_day,date,usertype,tripduration_min,tripduration_max,tripduration_mean,tripduration_sum,tripduration_count
00,2019-02-01,Subscriber,112,1861,506.37719298245617,57727,114
00,2019-02-02,Customer,201,2534,1143.4,11434,10
00,2019-02-02,Subscriber,79,135039,1179.8915094339623,250137,212
00,2019-02-03,Customer,237,10384,1569.5,31390,20
00,2019-02-03,Subscriber,68,66939,884.0496894409938,284664,322
00,2019-02-04,Customer,188,2507,783.2083333333334,18797,24
00,2019-02-04,Subscriber,67,6950,646.6878612716763,111877,173
00,2019-02-05,Customer,478,1349,1040.8461538461538,13531,13
00,2019-02-05,Subscriber,88,2553,640.0325581395349,137607,215
00,2019-02-06,Customer,228,3492,998.6153846153846,12982,13
00,2019-02-06,Subscriber,82,2747,645.4177777777778,145219,225
00,2019-02-07,Customer,370,1294,645.6,3228,5
00,2019-02-07,Subscriber,77,4586,591.1323529411765,40197,68
00,2019-02-08,Customer,368,4438,1150.2222222222222,10352,9
00,2019-02-08,Subscriber,89,75878,982.32,196464,200
00,2019-02-09,Customer,255,4346,987.6,14814,15
00,2019-02-09,Subscriber,75,2436,567.5242718446602,175365,309
00,2019-02-10,Customer,162,2197,814.1818181818181,17912,22
00,2019-02-10,Subscriber,64,3395,570.4149253731343,191089,335
00,2019-02-11,Customer,282,1892,849.3846153846154,11042,13
00,2019-02-11,Subscriber,81,3281,613.4362416107383,91402,149
00,2019-02-12,Customer,300,5002,1116.5454545454545,12282,11
00,2019-02-12,Subscriber,62,3039,623.6614583333334,119743,192
00,2019-02-13,Customer,572,3259,1590.6666666666667,4772,3
00,2019-02-13,Subscriber,123,2675,586.875,28170,48
00,2019-02-14,Customer,582,1213,862.0,4310,5
00,2019-02-14,Subscriber,99,2824,628.641592920354,142073,226
00,2019-02-15,Customer,275,5715,1359.125,21746,16
00,2019-02-15,Subscriber,90,3347,646.7993630573249,203095,314
00,2019-02-16,Customer,135,46369,4408.090909090909,193956,44
00,2019-02-16,Subscriber,90,3519,650.6284501061571,306446,471
00,2019-02-17,Customer,728,2623,1288.0869565217392,29626,23
00,2019-02-17,Subscriber,76,3891,617.5027322404371,226006,366
00,2019-02-18,Customer,353,1778,796.4285714285714,5575,7
00,2019-02-18,Subscriber,74,2873,637.7460317460317,80356,126
00,2019-02-19,Customer,222,4044,1312.75,10502,8
00,2019-02-19,Subscriber,76,4304,564.8074074074074,76249,135
00,2019-02-20,Customer,278,1321,732.3333333333334,2197,3
00,2019-02-20,Subscriber,95,5284,596.3032258064516,92427,155
00,2019-02-21,Customer,552,552,552.0,552,1
00,2019-02-21,Subscriber,69,2876,536.0,20368,38
00,2019-02-22,Customer,207,69281,3436.777777777778,92793,27
00,2019-02-22,Subscriber,62,3484,653.9868852459016,199466,305
00,2019-02-23,Customer,237,2713,958.7692307692307,24928,26
00,2019-02-23,Subscriber,68,3222,663.1743341404358,273891,413
00,2019-02-24,Customer,295,2755,972.6470588235294,16535,17
00,2019-02-24,Subscriber,72,3183,673.6194029850747,180530,268
00,2019-02-25,Customer,569,1800,1040.3636363636363,11444,11
00,2019-02-25,Subscriber,75,2783,523.2875816993464,80063,153
00,2019-02-26,Customer,184,36954,7908.8,39544,5
00,2019-02-26,Subscriber,63,2508,579.8888888888889,73066,126
00,2019-02-27,Customer,250,1509,870.1428571428571,6091,7
00,2019-02-27,Subscriber,70,4942,624.2388059701492,83648,134
00,2019-02-28,Customer,449,3236,1536.1666666666667,9217,6
00,2019-02-28,Subscriber,79,3282,558.0050251256281,111043,199
00,2019-03-01,Customer,718,1562,1140.0,2280,2
00,2019-03-01,Subscriber,74,4845,665.0163265306122,162929,245
00,2019-03-02,Customer,343,1598,843.875,6751,8
00,2019-03-02,Subscriber,108,67368,961.0931174089069,237390,247
00,2019-03-03,Customer,300,47382,2796.6666666666665,67120,24
00,2019-03-03,Subscriber,61,4444,702.5538461538462,228330,325
00,2019-03-04,Customer,283,486,384.5,769,2
00,2019-03-04,Subscriber,66,3445,698.1,20943,30
00,2019-03-05,Customer,328,1906,1053.25,4213,4
00,2019-03-05,Subscriber,61,2585,601.4276315789474,91417,152
00,2019-03-06,Customer,459,2055,893.875,7151,8
00,2019-03-06,Subscriber,79,3259,632.3469387755102,92955,147
00,2019-03-07,Customer,227,995,455.0,1820,4
00,2019-03-07,Subscriber,83,3234,573.8391608391609,82059,143
00,2019-03-08,Customer,88,1179,546.0,4914,9
00,2019-03-08,Subscriber,76,2233,534.3189655172414,123962,232
00,2019-03-09,Customer,332,30605,2171.84,54296,25
00,2019-03-09,Subscriber,61,2713,642.7488584474886,281524,438
00,2019-03-10,Customer,75,2076,1027.5185185185185,27743,27
00,2019-03-10,Subscriber,62,2829,671.1522248243559,286582,427
00,2019-03-11,Customer,483,47000,4352.066666666667,65281,15
00,2019-03-11,Subscriber,70,2808,578.3965517241379,100641,174
00,2019-03-12,Customer,192,55467,6837.133333333333,102557,15
00,2019-03-12,Subscriber,64,3058,686.8911917098445,132570,193
00,2019-03-13,Customer,232,1415,668.5454545454545,7354,11
00,2019-03-13,Subscriber,62,3272,569.6102564102564,111074,195
00,2019-03-14,Customer,486,3482,1309.909090909091,14409,11
00,2019-03-14,Subscriber,71,2962,608.8098360655738,185687,305
00,2019-03-15,Customer,144,46496,2548.2,101928,40
00,2019-03-15,Subscriber,65,298691,1370.6783216783217,588021,429
00,2019-03-16,Customer,165,53892,2245.8166666666666,134749,60
00,2019-03-16,Subscriber,64,792076,2273.315960912052,1395816,614
00,2019-03-17,Customer,176,3289,990.1875,31686,32
00,2019-03-17,Subscriber,61,68475,786.8918269230769,327347,416
00,2019-03-18,Customer,334,27989,3795.3333333333335,45544,12
00,2019-03-18,Subscriber,84,2895,624.3892215568862,104273,167
00,2019-03-19,Customer,93,2284,1202.0,18030,15
00,2019-03-19,Subscriber,81,3208,607.7191489361702,142814,235
00,2019-03-20,Customer,253,24625,2951.0833333333335,35413,12
00,2019-03-20,Subscriber,84,2690,613.6086956521739,169356,276
00,2019-03-21,Customer,269,3612,1397.5,30745,22
00,2019-03-21,Subscriber,77,385218,1972.6550522648083,566152,287
00,2019-03-22,Subscriber,72,1225,459.69620253164555,36316,79
00,2019-03-23,Customer,116,32911,2397.6190476190477,50350,21
00,2019-03-23,Subscriber,63,199100,1132.0415754923413,517343,457
00,2019-03-24,Customer,338,53634,2607.3846153846152,101688,39
00,2019-03-24,Subscriber,67,4568,649.047520661157,314139,484
00,2019-03-25,Customer,245,8375,1518.6410256410256,59227,39
00,2019-03-25,Subscriber,75,551637,3186.2105263157896,726456,228
00,2019-03-26,Customer,374,4508,1217.0689655172414,35295,29
00,2019-03-26,Subscriber,91,3061,630.2242990654206,134868,214
00,2019-03-27,Customer,147,32353,4046.133333333333,60692,15
