hour_of_day,date,gender,tripduration_min,tripduration_max,tripduration_mean,tripduration_sum,tripduration_count
00,2019-04-08,1,63,28084,815.2421524663677,181799,223
00,2019-04-08,2,70,1975,570.5263157894736,21680,38
00,2019-04-09,0,106,2269,977.1785714285714,27361,28
00,2019-04-09,1,63,61182,869.7427652733119,270490,311
00,2019-04-09,2,93,2530,597.6739130434783,27493,46
00,2019-04-10,0,151,2248,914.2222222222222,24684,27
00,2019-04-10,1,61,4632,635.4741035856574,159504,251
00,2019-04-10,2,133,2282,666.2553191489362,31314,47
00,2019-04-11,0,339,2059,1083.1538461538462,14081,13
00,2019-04-11,1,68,73026,1018.3071428571428,285126,280
00,2019-04-11,2,113,2539,886.5961538461538,46103,52
00,2019-04-12,0,220,51864,3579.4444444444443,64430,18
00,2019-04-12,1,66,3010,617.7738095238095,207572,336
00,2019-04-12,2,62,1991,568.7272727272727,31280,55
00,2019-04-13,0,103,3238,790.8461538461538,10281,13
00,2019-04-13,1,71,3051,639.4742268041238,124058,194
00,2019-04-13,2,193,3161,797.75,28719,36
00,2019-04-14,0,145,64153,2903.522123893805,328098,113
00,2019-04-14,1,61,263606,1659.4586255259467,1183194,713
00,2019-04-14,2,70,61342,1555.8125,323609,208
00,2019-04-15,0,263,2044,1274.0,19110,15
00,2019-04-15,1,101,4777,647.958549222798,125056,193
00,2019-04-15,2,187,1899,700.0294117647059,23801,34
00,2019-04-16,0,202,28084,3495.8888888888887,31463,9
00,2019-04-16,1,82,48606,916.2348993288591,136519,149
00,2019-04-16,2,112,2071,656.4375,21006,32
00,2019-04-17,0,222,1761,963.8947368421053,18314,19
00,2019-04-17,1,76,3023,637.7318181818182,140301,220
00,2019-04-17,2,172,1259244,40110.65625,1283541,32
00,2019-04-18,0,117,3456,1155.6,28890,25
00,2019-04-18,1,73,76348,996.7977099236641,261161,262
00,2019-04-18,2,184,1691,648.8444444444444,29198,45
00,2019-04-19,0,135,24232,1531.7954545454545,67399,44
00,2019-04-19,1,71,34340,791.4765258215963,337169,426
00,2019-04-19,2,119,3578,903.080459770115,78568,87
00,2019-04-20,0,312,3567,1185.8,53361,45
00,2019-04-20,1,63,140204,941.1051502145923,438555,466
00,2019-04-20,2,68,4292,704.561403508772,80320,114
00,2019-04-21,0,70,3013,1213.3103448275863,70372,58
00,2019-04-21,1,61,40456,875.6519916142557,417686,477
00,2019-04-21,2,116,2629,743.5070422535211,52789,71
00,2019-04-22,0,78,3405,1388.1525423728813,81901,59
00,2019-04-22,1,68,48694,1212.5378151260504,288584,238
00,2019-04-22,2,70,138449,4074.840909090909,179293,44
00,2019-04-23,0,248,2403,1045.657894736842,39735,38
00,2019-04-23,1,84,11294,742.4591439688716,190812,257
00,2019-04-23,2,132,4671,891.6984126984127,56177,63
00,2019-04-24,0,106,1870,1005.8571428571429,35205,35
00,2019-04-24,1,83,2783,727.5633802816901,154971,213
00,2019-04-24,2,133,4187,819.8787878787879,27056,33
00,2019-04-25,0,137,27205,1546.5702479338843,187135,121
00,2019-04-25,1,62,5294,740.4588859416446,279153,377
00,2019-04-25,2,120,3335,674.3493975903615,55971,83
00,2019-04-26,0,299,59246,2648.948717948718,103309,39
00,2019-04-26,1,62,38825,809.1307901907356,296951,367
00,2019-04-26,2,158,3844,828.8235294117648,56360,68
00,2019-04-27,0,287,11262,2760.3809523809523,57968,21
00,2019-04-27,1,91,4070,720.0644257703082,257063,357
00,2019-04-27,2,108,3430,840.2941176470588,71425,85
00,2019-04-28,0,237,37652,1870.6,74824,40
00,2019-04-28,1,62,109828,1036.4916820702404,560742,541
00,2019-04-28,2,70,20979,954.1221374045801,124990,131
00,2019-04-29,0,107,1378,730.4545454545455,16070,22
00,2019-04-29,1,73,2685,614.4831932773109,146247,238
00,2019-04-29,2,71,2676,580.7297297297297,21487,37
00,2019-04-30,0,79,5670,1633.5,6534,4
00,2019-04-30,1,69,184469,1754.6766467065868,293031,167
00,2019-04-30,2,148,3810,715.9655172413793,20763,29
00,2019-05-01,0,156,2101,819.7368421052631,15575,19
00,2019-05-01,1,67,33052,805.4802867383513,224729,279
00,2019-05-01,2,143,3312,884.0983606557377,53930,61
00,2019-05-02,0,251,3126,1142.2307692307693,29698,26
00,2019-05-02,1,65,8552,661.3257328990228,203027,307
00,2019-05-02,2,118,7456,931.0,57722,62
00,2019-05-03,0,99,2028,961.3333333333334,20188,21
00,2019-05-03,1,63,1021575,3997.5917721518986,1263239,316
00,2019-05-03,2,137,2380,868.0704225352113,61633,71
